num_params,threshold,keep_first_last,dataset,Size (bytes)
2282,0.0085,True,FEMNIST,18256
2379,0.0085,True,FEMNIST,19032
2340,0.0085,True,FEMNIST,18720
2393,0.0085,True,FEMNIST,19144
2434,0.0085,True,FEMNIST,19472
2300,0.0085,True,FEMNIST,18400
2378,0.0085,True,FEMNIST,19024
2500,0.0085,True,FEMNIST,20000
2365,0.0085,True,FEMNIST,18920
2313,0.0085,True,FEMNIST,18504
2440,0.0085,True,FEMNIST,19520
2345,0.0085,True,FEMNIST,18760
2238,0.0085,True,FEMNIST,17904
2443,0.0085,True,FEMNIST,19544
2552,0.0085,True,FEMNIST,20416
2337,0.0085,True,FEMNIST,18696
2432,0.0085,True,FEMNIST,19456
2420,0.0085,True,FEMNIST,19360
2351,0.0085,True,FEMNIST,18808
2479,0.0085,True,FEMNIST,19832
2369,0.0085,True,FEMNIST,18952
2418,0.0085,True,FEMNIST,19344
2486,0.0085,True,FEMNIST,19888
2506,0.0085,True,FEMNIST,20048
2507,0.0085,True,FEMNIST,20056
2396,0.0085,True,FEMNIST,19168
2615,0.0085,True,FEMNIST,20920
2490,0.0085,True,FEMNIST,19920
2353,0.0085,True,FEMNIST,18824
2280,0.0085,True,FEMNIST,18240
2427,0.0085,True,FEMNIST,19416
2295,0.0085,True,FEMNIST,18360
2647,0.0085,True,FEMNIST,21176
2414,0.0085,True,FEMNIST,19312
2395,0.0085,True,FEMNIST,19160
2551,0.0085,True,FEMNIST,20408
2452,0.0085,True,FEMNIST,19616
2355,0.0085,True,FEMNIST,18840
2303,0.0085,True,FEMNIST,18424
2429,0.0085,True,FEMNIST,19432
2353,0.0085,True,FEMNIST,18824
2541,0.0085,True,FEMNIST,20328
2515,0.0085,True,FEMNIST,20120
2373,0.0085,True,FEMNIST,18984
2637,0.0085,True,FEMNIST,21096
2475,0.0085,True,FEMNIST,19800
2489,0.0085,True,FEMNIST,19912
2448,0.0085,True,FEMNIST,19584
2340,0.0085,True,FEMNIST,18720
2443,0.0085,True,FEMNIST,19544
2451,0.0085,True,FEMNIST,19608
2419,0.0085,True,FEMNIST,19352
2401,0.0085,True,FEMNIST,19208
2487,0.0085,True,FEMNIST,19896
2310,0.0085,True,FEMNIST,18480
2329,0.0085,True,FEMNIST,18632
2474,0.0085,True,FEMNIST,19792
2457,0.0085,True,FEMNIST,19656
2281,0.0085,True,FEMNIST,18248
2335,0.0085,True,FEMNIST,18680
2360,0.0085,True,FEMNIST,18880
2332,0.0085,True,FEMNIST,18656
2421,0.0085,True,FEMNIST,19368
2593,0.0085,True,FEMNIST,20744
2424,0.0085,True,FEMNIST,19392
2277,0.0085,True,FEMNIST,18216
2465,0.0085,True,FEMNIST,19720
2297,0.0085,True,FEMNIST,18376
2321,0.0085,True,FEMNIST,18568
2380,0.0085,True,FEMNIST,19040
2437,0.0085,True,FEMNIST,19496
2371,0.0085,True,FEMNIST,18968
2604,0.0085,True,FEMNIST,20832
2327,0.0085,True,FEMNIST,18616
2322,0.0085,True,FEMNIST,18576
2346,0.0085,True,FEMNIST,18768
2246,0.0085,True,FEMNIST,17968
2254,0.0085,True,FEMNIST,18032
2456,0.0085,True,FEMNIST,19648
2307,0.0085,True,FEMNIST,18456
2420,0.0085,True,FEMNIST,19360
2524,0.0085,True,FEMNIST,20192
2388,0.0085,True,FEMNIST,19104
2338,0.0085,True,FEMNIST,18704
2327,0.0085,True,FEMNIST,18616
2492,0.0085,True,FEMNIST,19936
2384,0.0085,True,FEMNIST,19072
2553,0.0085,True,FEMNIST,20424
2431,0.0085,True,FEMNIST,19448
2378,0.0085,True,FEMNIST,19024
2305,0.0085,True,FEMNIST,18440
2325,0.0085,True,FEMNIST,18600
2438,0.0085,True,FEMNIST,19504
2356,0.0085,True,FEMNIST,18848
2447,0.0085,True,FEMNIST,19576
2519,0.0085,True,FEMNIST,20152
2539,0.0085,True,FEMNIST,20312
2425,0.0085,True,FEMNIST,19400
2361,0.0085,True,FEMNIST,18888
2492,0.0085,True,FEMNIST,19936
2406,0.0085,True,FEMNIST,19248
2444,0.0085,True,FEMNIST,19552
2459,0.0085,True,FEMNIST,19672
2443,0.0085,True,FEMNIST,19544
2635,0.0085,True,FEMNIST,21080
2490,0.0085,True,FEMNIST,19920
2389,0.0085,True,FEMNIST,19112
2500,0.0085,True,FEMNIST,20000
2610,0.0085,True,FEMNIST,20880
2608,0.0085,True,FEMNIST,20864
2467,0.0085,True,FEMNIST,19736
2298,0.0085,True,FEMNIST,18384
2659,0.0085,True,FEMNIST,21272
2341,0.0085,True,FEMNIST,18728
2316,0.0085,True,FEMNIST,18528
2341,0.0085,True,FEMNIST,18728
2620,0.0085,True,FEMNIST,20960
2248,0.0085,True,FEMNIST,17984
2285,0.0085,True,FEMNIST,18280
2555,0.0085,True,FEMNIST,20440
2277,0.0085,True,FEMNIST,18216
2329,0.0085,True,FEMNIST,18632
2332,0.0085,True,FEMNIST,18656
2325,0.0085,True,FEMNIST,18600
2330,0.0085,True,FEMNIST,18640
2361,0.0085,True,FEMNIST,18888
2385,0.0085,True,FEMNIST,19080
2291,0.0085,True,FEMNIST,18328
2572,0.0085,True,FEMNIST,20576
2438,0.0085,True,FEMNIST,19504
2441,0.0085,True,FEMNIST,19528
2338,0.0085,True,FEMNIST,18704
2363,0.0085,True,FEMNIST,18904
2360,0.0085,True,FEMNIST,18880
2387,0.0085,True,FEMNIST,19096
2233,0.0085,True,FEMNIST,17864
2240,0.0085,True,FEMNIST,17920
2340,0.0085,True,FEMNIST,18720
2287,0.0085,True,FEMNIST,18296
2284,0.0085,True,FEMNIST,18272
2243,0.0085,True,FEMNIST,17944
2230,0.0085,True,FEMNIST,17840
2211,0.0085,True,FEMNIST,17688
2331,0.0085,True,FEMNIST,18648
2276,0.0085,True,FEMNIST,18208
2294,0.0085,True,FEMNIST,18352
2275,0.0085,True,FEMNIST,18200
2085,0.0085,True,FEMNIST,16680
2050,0.0085,True,FEMNIST,16400
2136,0.0085,True,FEMNIST,17088
2002,0.0085,True,FEMNIST,16016
2122,0.0085,True,FEMNIST,16976
2016,0.0085,True,FEMNIST,16128
2090,0.0085,True,FEMNIST,16720
2130,0.0085,True,FEMNIST,17040
2040,0.0085,True,FEMNIST,16320
2096,0.0085,True,FEMNIST,16768
2051,0.0085,True,FEMNIST,16408
2078,0.0085,True,FEMNIST,16624
2126,0.0085,True,FEMNIST,17008
2009,0.0085,True,FEMNIST,16072
2039,0.0085,True,FEMNIST,16312
2018,0.0085,True,FEMNIST,16144
1930,0.0085,True,FEMNIST,15440
2048,0.0085,True,FEMNIST,16384
2050,0.0085,True,FEMNIST,16400
1960,0.0085,True,FEMNIST,15680
1869,0.0085,True,FEMNIST,14952
1968,0.0085,True,FEMNIST,15744
1938,0.0085,True,FEMNIST,15504
2049,0.0085,True,FEMNIST,16392
2066,0.0085,True,FEMNIST,16528
2097,0.0085,True,FEMNIST,16776
2090,0.0085,True,FEMNIST,16720
2056,0.0085,True,FEMNIST,16448
1891,0.0085,True,FEMNIST,15128
2110,0.0085,True,FEMNIST,16880
1941,0.0085,True,FEMNIST,15528
2068,0.0085,True,FEMNIST,16544
2037,0.0085,True,FEMNIST,16296
1850,0.0085,True,FEMNIST,14800
2064,0.0085,True,FEMNIST,16512
2075,0.0085,True,FEMNIST,16600
1977,0.0085,True,FEMNIST,15816
1902,0.0085,True,FEMNIST,15216
1965,0.0085,True,FEMNIST,15720
1786,0.0085,True,FEMNIST,14288
2102,0.0085,True,FEMNIST,16816
1980,0.0085,True,FEMNIST,15840
1930,0.0085,True,FEMNIST,15440
1962,0.0085,True,FEMNIST,15696
1983,0.0085,True,FEMNIST,15864
2022,0.0085,True,FEMNIST,16176
1805,0.0085,True,FEMNIST,14440
1927,0.0085,True,FEMNIST,15416
1959,0.0085,True,FEMNIST,15672
1882,0.0085,True,FEMNIST,15056
1982,0.0085,True,FEMNIST,15856
1946,0.0085,True,FEMNIST,15568
2167,0.0085,True,FEMNIST,17336
1963,0.0085,True,FEMNIST,15704
1991,0.0085,True,FEMNIST,15928
1986,0.0085,True,FEMNIST,15888
2038,0.0085,True,FEMNIST,16304
2038,0.0085,True,FEMNIST,16304
2029,0.0085,True,FEMNIST,16232
1849,0.0085,True,FEMNIST,14792
1981,0.0085,True,FEMNIST,15848
2010,0.0085,True,FEMNIST,16080
2005,0.0085,True,FEMNIST,16040
1941,0.0085,True,FEMNIST,15528
2037,0.0085,True,FEMNIST,16296
1893,0.0085,True,FEMNIST,15144
2032,0.0085,True,FEMNIST,16256
2006,0.0085,True,FEMNIST,16048
1945,0.0085,True,FEMNIST,15560
2064,0.0085,True,FEMNIST,16512
1846,0.0085,True,FEMNIST,14768
2031,0.0085,True,FEMNIST,16248
2034,0.0085,True,FEMNIST,16272
2127,0.0085,True,FEMNIST,17016
2033,0.0085,True,FEMNIST,16264
2051,0.0085,True,FEMNIST,16408
1914,0.0085,True,FEMNIST,15312
2044,0.0085,True,FEMNIST,16352
2038,0.0085,True,FEMNIST,16304
1967,0.0085,True,FEMNIST,15736
2032,0.0085,True,FEMNIST,16256
2065,0.0085,True,FEMNIST,16520
1918,0.0085,True,FEMNIST,15344
2011,0.0085,True,FEMNIST,16088
1885,0.0085,True,FEMNIST,15080
2029,0.0085,True,FEMNIST,16232
2043,0.0085,True,FEMNIST,16344
2102,0.0085,True,FEMNIST,16816
2044,0.0085,True,FEMNIST,16352
1892,0.0085,True,FEMNIST,15136
2028,0.0085,True,FEMNIST,16224
1875,0.0085,True,FEMNIST,15000
2000,0.0085,True,FEMNIST,16000
2032,0.0085,True,FEMNIST,16256
2077,0.0085,True,FEMNIST,16616
1990,0.0085,True,FEMNIST,15920
2075,0.0085,True,FEMNIST,16600
1878,0.0085,True,FEMNIST,15024
2084,0.0085,True,FEMNIST,16672
2086,0.0085,True,FEMNIST,16688
2035,0.0085,True,FEMNIST,16280
2049,0.0085,True,FEMNIST,16392
2154,0.0085,True,FEMNIST,17232
2049,0.0085,True,FEMNIST,16392
2094,0.0085,True,FEMNIST,16752
1932,0.0085,True,FEMNIST,15456
1966,0.0085,True,FEMNIST,15728
2102,0.0085,True,FEMNIST,16816
1963,0.0085,True,FEMNIST,15704
2055,0.0085,True,FEMNIST,16440
2092,0.0085,True,FEMNIST,16736
2112,0.0085,True,FEMNIST,16896
2086,0.0085,True,FEMNIST,16688
1892,0.0085,True,FEMNIST,15136
2090,0.0085,True,FEMNIST,16720
1895,0.0085,True,FEMNIST,15160
2056,0.0085,True,FEMNIST,16448
2005,0.0085,True,FEMNIST,16040
2104,0.0085,True,FEMNIST,16832
2042,0.0085,True,FEMNIST,16336
2126,0.0085,True,FEMNIST,17008
1960,0.0085,True,FEMNIST,15680
2103,0.0085,True,FEMNIST,16824
2079,0.0085,True,FEMNIST,16632
2092,0.0085,True,FEMNIST,16736
1866,0.0085,True,FEMNIST,14928
2095,0.0085,True,FEMNIST,16760
2106,0.0085,True,FEMNIST,16848
2121,0.0085,True,FEMNIST,16968
2079,0.0085,True,FEMNIST,16632
